fixture,repeat_id,arm,evaluation_valid,execution_status,augmentation_status,lineage_status,goal_reached,new_sequences,new_states,new_coverage,continuation_new_states,continuation_new_coverage,accepted_seeds,charged_wall_seconds,first_goal_stage,first_goal_seconds,first_goal_time_basis,first_native_goal_stage,first_native_goal_seconds,right_censored,censor_seconds,candidate_opportunities,accepted_seed_count,used_seed_count,seed_parent_selections,different_seed_children,executed_seed_children,seed_child_new_states,seed_child_new_coverage,accepted_seed_rate,used_seed_rate,common_seconds,prefix_seconds,augmentation_seconds,solver_seconds,concrete_replay_seconds,augmentation_other_seconds,native_restart_setup_seconds,native_startup_replay_seconds,native_continuation_seconds,record_path
bounded_ledger,1,concrete_augment,True,completed,no_candidate,verified,False,448,5,0,5,0,0,6.825850666005863,right_censored,,budget_deadline,right_censored,,True,8.0,80,0,0,0,0,0,0,0,0.0,,0.942235750000691,0.0012660420034080744,1.0590852499881294,0,0,1.0590852499881294,0.29925879099999975,0.00610525,3.794014209,blocks/bounded_ledger/repeat-1/arms/concrete_augment/campaign.json
bounded_ledger,1,native_resume,True,completed,not_applicable,verified,False,560,5,0,5,0,0,7.045348250016104,right_censored,,budget_deadline,right_censored,,True,8.0,0,0,0,0,0,0,0,0,,,0.942235750000691,0.001146750000771135,0.0,0,0,0.0,0.30141970900000015,0.006660708,4.852560292,blocks/bounded_ledger/repeat-1/arms/native_resume/campaign.json
bounded_ledger,1,symbolic_augment,True,completed,completed,verified,True,285,6,1,5,0,1,6.656714583019493,auxiliary_concrete_validation,3.2227855830278713,augmentation_stage_completion_upper_bound,native_import,3.5198607920151757,False,,2,1,1,132,132,132,1,0,0.5,1.0,0.942235750000691,0.0010491659922990948,2.2794860000140034,1.534646459040232,0.19600424999953248,0.5488352909742389,0.28579883399999995,0.010964625,2.569813125,blocks/bounded_ledger/repeat-1/arms/symbolic_augment/campaign.json
bounded_ledger,2,concrete_augment,True,completed,no_candidate,verified,False,489,10,0,10,0,0,6.879375583986985,right_censored,,budget_deadline,right_censored,,True,8.0,80,0,0,0,0,0,0,0,0.0,,0.891071166988695,0.0012374999932944775,0.9628056669898797,0,0,0.9628056669898797,0.29991283400000013,0.006272875,3.939563958,blocks/bounded_ledger/repeat-2/arms/concrete_augment/campaign.json
bounded_ledger,2,native_resume,True,completed,not_applicable,verified,False,609,10,0,10,0,0,7.103565792000154,right_censored,,budget_deadline,right_censored,,True,8.0,0,0,0,0,0,0,0,0,,,0.891071166988695,0.0010529999854043126,0.0,0,0,0.0,0.2988170839999995,0.006115333,4.904827125,blocks/bounded_ledger/repeat-2/arms/native_resume/campaign.json
bounded_ledger,2,symbolic_augment,True,completed,completed,verified,True,288,10,1,9,0,1,6.619367626000894,auxiliary_concrete_validation,3.165565292001702,augmentation_stage_completion_upper_bound,native_import,3.459853417996591,False,,2,1,1,146,146,146,5,0,0.5,1.0,0.891071166988695,0.001057249988662079,2.2734239579876885,1.482795415999135,0.29031691601267084,0.5003116259758826,0.281624501,0.0124235,2.624752041,blocks/bounded_ledger/repeat-2/arms/symbolic_augment/campaign.json
bounded_ledger,3,concrete_augment,True,completed,no_candidate,verified,False,486,8,0,8,0,0,6.877703249978367,right_censored,,budget_deadline,right_censored,,True,8.0,80,0,0,0,0,0,0,0,0.0,,0.9482484579784796,0.0010068750125356019,0.9853508749802131,0,0,0.9853508749802131,0.287569333,0.006253875,3.862345584,blocks/bounded_ledger/repeat-3/arms/concrete_augment/campaign.json
bounded_ledger,3,native_resume,True,completed,not_applicable,verified,False,595,8,0,8,0,0,7.089546624978539,right_censored,,budget_deadline,right_censored,,True,8.0,0,0,0,0,0,0,0,0,,,0.9482484579784796,0.0009428329940419644,0.0,0,0,0.0,0.28248037500000045,0.007510292,4.846692458,blocks/bounded_ledger/repeat-3/arms/native_resume/campaign.json
bounded_ledger,3,symbolic_augment,True,completed,completed,verified,True,278,9,1,8,0,1,6.600422373972833,auxiliary_concrete_validation,3.2630435829923954,augmentation_stage_completion_upper_bound,native_import,3.560325040970517,False,,2,1,1,133,133,133,1,0,0.5,1.0,0.9482484579784796,0.0010346669878344983,2.3137419590202626,1.490500999003416,0.2914732919889502,0.5317676680278964,0.284934416,0.011707792,2.5282205419999997,blocks/bounded_ledger/repeat-3/arms/symbolic_augment/campaign.json
bounded_ledger,4,concrete_augment,True,completed,no_candidate,verified,False,480,14,17,14,17,0,6.850333125999896,right_censored,,budget_deadline,right_censored,,True,8.0,60,0,0,0,0,0,0,0,0.0,,1.0560442919959314,0.0008833750034682453,0.9258978749858215,0,0,0.9258978749858215,0.28918825000000004,0.006092709,3.8129580830000003,blocks/bounded_ledger/repeat-4/arms/concrete_augment/campaign.json
bounded_ledger,4,native_resume,True,completed,not_applicable,verified,False,594,15,17,15,17,0,6.9948525830113795,right_censored,,budget_deadline,right_censored,,True,8.0,0,0,0,0,0,0,0,0,,,1.0560442919959314,0.0009470840159337968,0.0,0,0,0.0,0.2941740829999997,0.005759,4.740116334,blocks/bounded_ledger/repeat-4/arms/native_resume/campaign.json
bounded_ledger,4,symbolic_augment,True,completed,completed,verified,True,274,14,18,13,1,1,6.608875459001865,auxiliary_concrete_validation,3.4073357500019483,augmentation_stage_completion_upper_bound,native_import,3.7044587079825577,False,,2,1,1,120,120,120,2,1,0.5,1.0,1.0560442919959314,0.0009679170034360141,2.350307957996847,1.6815441669896245,0.1395573749905452,0.5292064160166774,0.284407082,0.012320459,2.383513125,blocks/bounded_ledger/repeat-4/arms/symbolic_augment/campaign.json
bounded_ledger,5,concrete_augment,True,completed,no_candidate,verified,False,476,8,0,8,0,0,6.852595292002661,right_censored,,budget_deadline,right_censored,,True,8.0,80,0,0,0,0,0,0,0,0.0,,0.9640933749906253,0.0009877920092549175,1.0323665409814566,0,0,1.0323665409814566,0.2817162080000002,0.004669208,3.7991942499999998,blocks/bounded_ledger/repeat-5/arms/concrete_augment/campaign.json
bounded_ledger,5,native_resume,True,completed,not_applicable,verified,False,609,8,0,8,0,0,7.050206124986289,right_censored,,budget_deadline,right_censored,,True,8.0,0,0,0,0,0,0,0,0,,,0.9640933749906253,0.0011866669810842723,0.0,0,0,0.0,0.2892487079999997,0.006360375,4.832700958,blocks/bounded_ledger/repeat-5/arms/native_resume/campaign.json
bounded_ledger,5,symbolic_augment,True,completed,completed,verified,True,291,8,1,7,0,1,6.5899284159822855,auxiliary_concrete_validation,3.2342613749788143,augmentation_stage_completion_upper_bound,native_import,3.526816957983909,False,,2,1,1,123,123,123,2,0,0.5,1.0,0.9640933749906253,0.0009734590130392462,2.2691819169849623,1.6120771669666283,0.14372937500593252,0.5133753750124015,0.278629875,0.013596333,2.5549660419999998,blocks/bounded_ledger/repeat-5/arms/symbolic_augment/campaign.json
phase_counter,1,concrete_augment,True,completed,no_candidate,verified,False,606,5,0,5,0,0,6.990386916004354,right_censored,,budget_deadline,right_censored,,True,8.0,80,0,0,0,0,0,0,0,0.0,,0.8163139579992276,0.0011291659902781248,0.9755168750125449,0,0,0.9755168750125449,0.29122458400000006,0.006247042,4.003818458,blocks/phase_counter/repeat-1/arms/concrete_augment/campaign.json
phase_counter,1,native_resume,True,completed,not_applicable,verified,False,780,5,0,5,0,0,7.28621912500239,right_censored,,budget_deadline,right_censored,,True,8.0,0,0,0,0,0,0,0,0,,,0.8163139579992276,0.0009944579796865582,0.0,0,0,0.0,0.2691654159999999,0.005822875,4.9804896670000005,blocks/phase_counter/repeat-1/arms/native_resume/campaign.json
phase_counter,1,symbolic_augment,True,completed,completed,verified,True,362,6,1,5,0,1,6.739876248990186,auxiliary_concrete_validation,3.160662540991325,augmentation_stage_completion_upper_bound,native_import,3.453977458001077,False,,2,1,1,170,170,170,0,0,0.5,1.0,0.8163139579992276,0.0009737499931361526,2.3433622920128983,1.6182492499647196,0.19577504199696705,0.5293380000512116,0.2802614160000001,0.012684834,2.629173625,blocks/phase_counter/repeat-1/arms/symbolic_augment/campaign.json
phase_counter,2,concrete_augment,True,completed,no_candidate,verified,False,589,10,0,10,0,0,6.992549124988727,right_censored,,budget_deadline,right_censored,,True,8.0,80,0,0,0,0,0,0,0,0.0,,0.9891126249858644,0.001048290985636413,0.9438814159948379,0,0,0.9438814159948379,0.27152187500000036,0.005756834,3.862745666,blocks/phase_counter/repeat-2/arms/concrete_augment/campaign.json
phase_counter,2,native_resume,True,completed,not_applicable,verified,False,762,10,0,10,0,0,7.101320583984489,right_censored,,budget_deadline,right_censored,,True,8.0,0,0,0,0,0,0,0,0,,,0.9891126249858644,0.0010755840048659593,0.0,0,0,0.0,0.26983337500000015,0.005907958,4.806824375,blocks/phase_counter/repeat-2/arms/native_resume/campaign.json
phase_counter,2,symbolic_augment,True,completed,completed,verified,True,355,11,1,10,0,1,6.6298869169841055,auxiliary_concrete_validation,3.3414659590052906,augmentation_stage_completion_upper_bound,native_import,3.6335920419962617,False,,2,1,1,134,134,134,6,0,0.5,1.0,0.9891126249858644,0.001073167019058019,2.351263459015172,1.6780456250126008,0.14146066701505333,0.5317571669875178,0.2797565419999999,0.01199325,2.448149458,blocks/phase_counter/repeat-2/arms/symbolic_augment/campaign.json
phase_counter,3,concrete_augment,True,completed,no_candidate,verified,False,650,7,0,7,0,0,6.98114483396057,right_censored,,budget_deadline,right_censored,,True,8.0,80,0,0,0,0,0,0,0,0.0,,0.8909475839755032,0.0009207080001942813,0.9136744579882361,0,0,0.9136744579882361,0.2715671669999997,0.005034625,3.9917365830000002,blocks/phase_counter/repeat-3/arms/concrete_augment/campaign.json
phase_counter,3,native_resume,True,completed,not_applicable,verified,False,779,7,0,7,0,0,7.171367291972274,right_censored,,budget_deadline,right_censored,,True,8.0,0,0,0,0,0,0,0,0,,,0.8909475839755032,0.0010904999799095094,0.0,0,0,0.0,0.2642175419999999,0.005429333,4.905684249999999,blocks/phase_counter/repeat-3/arms/native_resume/campaign.json
phase_counter,3,symbolic_augment,True,completed,completed,verified,True,374,8,1,7,0,1,6.660405708971666,auxiliary_concrete_validation,3.163347375986632,augmentation_stage_completion_upper_bound,native_import,3.4430744179924786,False,,2,1,1,183,183,183,3,0,0.5,1.0,0.8909475839755032,0.000996834016405046,2.2713822500081733,1.5008859160298016,0.2840132499986794,0.4864830839796923,0.2700361670000002,0.009441208,2.629578583,blocks/phase_counter/repeat-3/arms/symbolic_augment/campaign.json
phase_counter,4,concrete_augment,True,completed,no_candidate,verified,False,647,7,0,7,0,0,6.9753811249975115,right_censored,,budget_deadline,right_censored,,True,8.0,80,0,0,0,0,0,0,0,0.0,,0.8739740409946535,0.0011692080006469041,0.86494404199766,0,0,0.86494404199766,0.28157195899999987,0.005551291,4.0571069170000005,blocks/phase_counter/repeat-4/arms/concrete_augment/campaign.json
phase_counter,4,native_resume,True,completed,not_applicable,verified,False,789,7,0,7,0,0,7.206273916002829,right_censored,,budget_deadline,right_censored,,True,8.0,0,0,0,0,0,0,0,0,,,0.8739740409946535,0.0009170419943984598,0.0,0,0,0.0,0.2904019169999996,0.005597209,4.922023041,blocks/phase_counter/repeat-4/arms/native_resume/campaign.json
phase_counter,4,symbolic_augment,True,completed,completed,verified,True,359,8,1,7,0,1,6.7096911239787005,auxiliary_concrete_validation,3.106187957979273,augmentation_stage_completion_upper_bound,native_import,3.392166665982411,False,,2,1,1,184,184,184,3,0,0.5,1.0,0.8739740409946535,0.0010046249954029918,2.231195416999981,1.59722916802275,0.14056054200045764,0.4934057069767732,0.276176875,0.009561542,2.6873143749999997,blocks/phase_counter/repeat-4/arms/symbolic_augment/campaign.json
phase_counter,5,concrete_augment,True,completed,no_candidate,verified,False,604,6,0,6,0,0,6.970838459004881,right_censored,,budget_deadline,right_censored,,True,8.0,80,0,0,0,0,0,0,0,0.0,,0.9066985840036068,0.0009189589763991535,0.9298669580020942,0,0,0.9298669580020942,0.2873545830000004,0.006079916,3.958684542,blocks/phase_counter/repeat-5/arms/concrete_augment/campaign.json
