slot_id,fixture_id,repeat_id,profile_id,arm,total_budget_seconds,goal_invocation_limit_seconds,goal_reached,warmup_goal_reached,native_import_goal_reached,native_continuation_goal_reached,auxiliary_concrete_goal_confirmed,observation_end_seconds,charged_end_seconds,unused_budget_seconds,completed_sequences,partial_sequences,augmentation_status,accepted_seed_count,miss_or_hit_reason,sequence_new_count,state_new_count,coverage_new_count,event_stream_sha256
phase_counter/repeat-10/b32-symbolic-q075,phase_counter,10,b32-symbolic-q075,symbolic_augment,32.0,0.75,True,False,True,True,True,30.02009062600138,30.998352041991893,1.0016479580081068,4733,0,completed,1,native_import_goal_reached,3622,4,1,b832dd2a90e8582618be6ae39928a99567679a779369dbb5cbbfa64ba174e3bc
phase_counter/repeat-10/b32-symbolic-q050,phase_counter,10,b32-symbolic-q050,symbolic_augment,32.0,0.5,True,False,True,True,True,30.01772074900846,31.002260499983095,0.9977395000169054,4766,0,completed,2,native_import_goal_reached,3453,5,1,aeb07105d5de0587eba45a6284b9345cd2eaab67ee82d22d6655f7c310f9a467
phase_counter/repeat-10/b32-symbolic-q150,phase_counter,10,b32-symbolic-q150,symbolic_augment,32.0,1.5,True,False,True,True,True,30.0068864990238,30.998666583036538,1.0013334169634618,4779,0,completed,1,native_import_goal_reached,3621,4,1,57df8936220dcee81c7654b56a33d741c541d0e97c5e30a991fb61ed8dd49fb7
phase_counter/repeat-10/b08-native,phase_counter,10,b08-native,native_resume,8.0,,False,False,False,False,False,6.008065084017215,6.304873040993698,1.695126959006302,897,0,not_applicable,0,native_continuation_no_goal,847,3,0,a095bbfb42827e68371935a87c62d1d8c41f2022896d2442e3ed0ba1681fbe87
bounded_ledger/repeat-01/b08-native,bounded_ledger,1,b08-native,native_resume,8.0,,False,False,False,False,False,6.001260166971807,6.267123583005741,1.7328764169942588,669,0,not_applicable,0,native_continuation_no_goal,637,12,0,91ae90dd5b3bd86616ad4d52b682e6bb7e6018c536c5cd862f082461de621cf6
bounded_ledger/repeat-01/b08-concrete,bounded_ledger,1,b08-concrete,concrete_augment,8.0,,False,False,False,False,False,6.001882999000307,6.200758874998428,1.799241125001572,543,0,no_candidate,0,no_candidate,514,12,0,42f32e88200dfa39c510da0e7f20394e1aeaa0f679ac4a4ac1823be7eca6dd15
bounded_ledger/repeat-01/b08-symbolic-q075,bounded_ledger,1,b08-symbolic-q075,symbolic_augment,8.0,0.75,True,False,True,True,True,6.015831291026398,6.239935500023421,1.760064499976579,364,0,completed,1,native_import_goal_reached,316,13,1,0edc99833d72715be7e2748c3ad35b87d92ee143d3e2eeca693ba1bb827c764b
bounded_ledger/repeat-01/b32-native,bounded_ledger,1,b32-native,native_resume,32.0,,False,False,False,False,False,30.007094165973434,30.899331166991033,1.1006688330089673,4000,0,not_applicable,0,native_continuation_no_goal,3626,12,0,6d1a3c651c56bbdb39b76e38bf897c59cbbc65f2f20d20afa10e4b5a072cfa4c
bounded_ledger/repeat-01/b32-concrete,bounded_ledger,1,b32-concrete,concrete_augment,32.0,,False,False,False,False,False,30.014237083034548,30.862341000000015,1.137658999999985,3869,0,no_candidate,0,no_candidate,3492,12,0,5d7477f3d01afe9ab69a47e7089c855d00703a673b899acbc7dee16f343a4d9d
bounded_ledger/repeat-01/b32-symbolic-q075,bounded_ledger,1,b32-symbolic-q075,symbolic_augment,32.0,0.75,True,False,True,True,True,30.016392667026118,30.873194792016875,1.126805207983125,3669,0,completed,1,native_import_goal_reached,2838,13,1,46446fc13c98e3d8f2998de7b54afbe87cd37e9909d1dd8cfaad01b2770c8a1e
bounded_ledger/repeat-01/b32-symbolic-q050,bounded_ledger,1,b32-symbolic-q050,symbolic_augment,32.0,0.5,True,False,True,True,True,30.030694499032265,30.84952833299758,1.1504716670024209,3527,0,completed,1,native_import_goal_reached,2729,13,1,0b81fcb1bc4683c8e6975f57b6a7f69d0ccbbc437dc1890fe85367d76e4cda36
bounded_ledger/repeat-01/b32-symbolic-q150,bounded_ledger,1,b32-symbolic-q150,symbolic_augment,32.0,1.5,True,False,True,True,True,30.0122120420121,30.881887583993375,1.1181124160066247,3666,0,completed,1,native_import_goal_reached,2816,13,1,5868471d5974979071f8084a6528b4c33420533f3440e263a29d2e934179a3d4
bounded_ledger/repeat-02/b08-concrete,bounded_ledger,2,b08-concrete,concrete_augment,8.0,,False,False,False,False,False,6.037738248929555,6.225050457927864,1.774949542072136,461,0,no_candidate,0,no_candidate,444,13,0,7e5cb5a83f0738d43aac06dc1ad7ae65a760827cd02d7af5c638b4031b6cfc5d
bounded_ledger/repeat-02/b08-symbolic-q075,bounded_ledger,2,b08-symbolic-q075,symbolic_augment,8.0,0.75,True,False,True,True,True,6.0255322919906344,6.221616249997169,1.7783837500028312,312,0,completed,1,native_import_goal_reached,269,12,1,9671997c08505265235acf0f46ad402aee0940b18475af0618996412301e1b06
bounded_ledger/repeat-02/b32-native,bounded_ledger,2,b32-native,native_resume,32.0,,False,False,False,False,False,30.016019124968075,30.840485290973447,1.1595147090265527,3921,0,not_applicable,0,native_continuation_no_goal,3635,13,0,805bbd0ffddad6cb0c065a2019ffeeb0c159c0093a10d6d9d65fb91e64869216
bounded_ledger/repeat-02/b32-concrete,bounded_ledger,2,b32-concrete,concrete_augment,32.0,,False,False,False,False,False,30.0038275009502,30.789563124941196,1.2104368750588037,3762,0,no_candidate,0,no_candidate,3484,13,0,207dec6492ed631cf64a1ff3255c74df6d8a25cc1cce855407135b41b3305daf
bounded_ledger/repeat-02/b32-symbolic-q075,bounded_ledger,2,b32-symbolic-q075,symbolic_augment,32.0,0.75,True,False,True,True,True,30.016141207964065,30.837787249998655,1.1622127500013448,3666,0,completed,1,native_import_goal_reached,2874,14,1,9e037ad5452b732ecae1a22fd0712a6a11fb8967a997b5453743b8934a8be6fc
bounded_ledger/repeat-02/b32-symbolic-q050,bounded_ledger,2,b32-symbolic-q050,symbolic_augment,32.0,0.5,True,False,True,True,True,30.039588083002947,30.84062183299102,1.159378167008981,3662,0,completed,1,native_import_goal_reached,2839,14,1,5ff6b9fe2ee05f26ee534f46d7dadb2c4ec5d5ae26cf9b626a8c4878b86e3bc2
bounded_ledger/repeat-02/b32-symbolic-q150,bounded_ledger,2,b32-symbolic-q150,symbolic_augment,32.0,1.5,True,False,True,True,True,30.015906959915778,30.85698662494542,1.1430133750545792,3656,0,completed,1,native_import_goal_reached,2873,14,1,f101f06f818daf252780f74ef06b998ec771f34d73510278d58e91f7124b186d
bounded_ledger/repeat-02/b08-native,bounded_ledger,2,b08-native,native_resume,8.0,,False,False,False,False,False,5.998761832958675,6.282866499910597,1.7171335000894032,664,0,not_applicable,0,native_continuation_no_goal,643,13,0,651645106beb0ca65b3a02da912d60554d4665e74e64e33094a0e0d35f974fb2
bounded_ledger/repeat-03/b08-symbolic-q075,bounded_ledger,3,b08-symbolic-q075,symbolic_augment,8.0,0.75,True,False,True,True,True,6.011464498990636,6.213516415969934,1.7864835840300657,350,0,completed,1,native_import_goal_reached,294,18,1,d21e970750edbfc380019122f6cba46051b8b465b4d341c6e39980fbc3106029
bounded_ledger/repeat-03/b32-native,bounded_ledger,3,b32-native,native_resume,32.0,,False,False,False,False,False,30.003180666043317,30.881022792018484,1.1189772079815157,4074,0,not_applicable,0,native_continuation_no_goal,3800,17,0,7bd3133bec51b08a3e6cf71eee2c16b15432dc3fb6fe8e0eac8c527ae24d279e
bounded_ledger/repeat-03/b32-concrete,bounded_ledger,3,b32-concrete,concrete_augment,32.0,,False,False,False,False,False,30.01255245799029,30.870166082982905,1.1298339170170948,3939,0,no_candidate,0,no_candidate,3618,17,0,fb354ee8875b4f90874252e05cde2500087c169a81a4906897d04a5d29cf9cac
bounded_ledger/repeat-03/b32-symbolic-q075,bounded_ledger,3,b32-symbolic-q075,symbolic_augment,32.0,0.75,True,False,True,True,True,30.022593582996436,30.82823375001317,1.171766249986831,3697,0,completed,1,native_import_goal_reached,2863,18,1,d74e09b9c1a48c6345ba8904e5da040c5cecb0ff175c911502c029e553ca4129
bounded_ledger/repeat-03/b32-symbolic-q050,bounded_ledger,3,b32-symbolic-q050,symbolic_augment,32.0,0.5,True,False,True,True,True,30.02086341798549,30.837043791951146,1.162956208048854,3699,0,completed,1,native_import_goal_reached,2858,18,1,bed5186332b009319d96229b09f07c83f0bdbf123dc67ea7c7004c777d64228a
